LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
0,0,0,3139,1085,11627,0,22
0,65,18.1,3147,1276,11627,0,54
0,65,18.1,3163,1702,11772,0,189
0,65,18.1,3164,1545,11580,0,29
0,65,18.1,3152,863,11580,0,26
0,64,18.8,3170,941,10469,0,42
0,64,19.2,3171,920,10080,0,23
0,64,19.3,3172,928,10665,0,18
0,65,19.2,3170,1453,11999,0,15
0,65,18.9,3178,1400,12014,0,13
0,65,18.6,3176,911,13302,0,20
0,65,18.4,3170,1093,13302,0,32
0,65,18.2,3183,1126,14301,0,7
0,65,18.1,3184,941,14194,0,46
0,65,18,3155,1720,14533,0,173
0,65,18,3179,2087,14405,0,68
0,65,18,3188,1569,14405,0,29
0,65,18,3189,1234,14316,0,25
0,65,18,3171,1169,13004,0,41
0,65,18,3190,1339,13004,0,40
0,65,18,3195,1465,12103,0,78
0,69,18,3184,1448,13134,0,129
0,70,18,3194,1469,16633,0,39
0,70,18,3200,1318,16720,0,50
0,72,18,3189,1286,17565,0,17
0,74,17.7,3194,1411,17565,0,35
0,75,17.6,3202,1231,16743,0,55
0,76,17.5,3190,1125,17531,0,42
0,76,17.5,3190,1401,17531,0,30
0,76,17.5,3203,1316,18097,0,17
0,76,17.6,3192,1166,17673,0,34
0,76,17.8,3200,1336,17673,0,27
0,75,18,3208,1286,16288,0,17
0,74,18.1,3196,1272,15708,0,53
0,74,18.2,3204,1171,14112,0,47
0,70,18.7,3211,887,12777,0,18
0,68,19,3200,918,13091,0,20
0,67,19.2,3203,1118,13091,0,27
0,67,19.4,3211,1153,14039,0,16
0,67,19.5,3195,1346,14443,0,14
0,64,19.7,3206,1407,14443,0,43
0,65,19.9,3212,1256,14883,0,20
0,67,20,3196,1344,15249,0,17
0,67,20.1,3208,1148,15249,0,15
0,67,20.1,3210,908,15210,0,23
0,67,20.2,3202,1082,15001,0,16
0,67,20.3,3214,1139,15018,0,21
0,67,20.4,3219,996,15050,0,12
0,67,20.4,3215,872,14878,0,18
0,66,20.4,3217,986,14878,0,10
0,65,20.4,3221,1061,14825,0,20
0,64,20.4,3220,1095,15104,0,16
0,64,20.3,3214,1168,15104,0,30
0,63,20.2,3226,1052,15266,0,23
0,63,20,3226,891,14876,0,19
0,63,19.9,3222,902,15163,0,11
0,63,19.9,3224,926,14793,0,15
0,63,19.6,3227,965,14793,0,14
0,63,19.3,3224,1004,14969,0,8
0,62,19.1,3225,1062,14580,0,13
0,61,18.9,3230,1024,15656,0,11
0,62,18.6,3228,922,15618,0,11
0,61,18.4,3228,1157,15630,0,31
0,60,18.2,3233,1103,15332,0,16
0,59,18.1,3230,944,15351,0,27
0,59,18,3226,1153,15377,0,10
0,59,18,3234,1130,15399,14935,13
0,59,18,3235,925,15535,14944,11
0,59,18,3225,1195,15746,14982,16
0,58,18.3,3234,1420,16609,15011,12
0,57,18.4,3234,1465,16609,15023,11
0,57,18.5,3228,1447,16686,15068,13
0,57,18.5,3238,1159,15726,15076,26
0,57,18.6,3235,896,15726,15082,18
0,57,18.7,3227,947,15103,15102,20
0,57,18.7,3236,1024,15379,15127,27
0,56,18.9,3237,1248,15379,15153,26
0,56,19,3227,1269,16254,15158,24
0,56,19.1,3238,1211,16725,15236,10
0,56,19.2,3238,1049,16781,15285,10
0,56,19.3,3229,823,16278,15287,15
0,55,19.3,3236,928,16278,15353,7
0,55,19.3,3240,902,15538,15369,15
0,55,19.3,3236,971,16276,15369,19
0,55,19.3,3231,1098,16276,15369,11
0,55,19.3,3241,1198,17055,15369,13
0,55,19.3,3243,1080,16554,15369,23
0,55,19.3,3236,2165,16554,15369,20
0,55,19.3,3235,3244,15332,15369,19
0,55,19.4,3244,2602,15332,15369,9
0,55,19.4,3243,977,14204,15353,16
0,55,19.4,3233,932,13003,15287,25
0,55,19.3,3243,1119,14883,15285,19
0,55,19.2,3245,1044,14499,15236,17
0,56,18.8,3239,1063,15791,15158,19
0,57,18.6,3235,1132,15289,15193,27
0,57,18.5,3244,920,15289,15236,15
0,58,17.9,3245,903,14664,15236,29
0,58,17.5,3236,1093,14658,15236,30
0,58,17.3,3243,1118,15109,15236,17
0,58,17.2,3247,981,14986,15236,19
0,58,17.1,3246,1258,15463,15236,17
0,58,17.1,3238,1270,14268,15236,14
0,58,17.1,3247,929,14443,15236,18
0,58,17,3248,909,13492,15193,17
0,58,16.9,3241,1030,13645,15193,21
0,58,16.9,3246,1012,14240,15193,24
0,58,16.9,3249,911,14240,15193,15
0,58,16.9,3249,1027,15031,15193,18
0,58,16.9,3240,1106,14816,15193,13
0,58,16.9,3246,1131,14213,15193,13
0,58,16.9,3252,965,12382,15193,20
0,58,16.8,3251,794,13164,15193,26
0,58,16.8,3235,987,12846,15193,15
0,58,16.8,3243,1069,13507,15193,25
0,58,16.7,3251,937,12258,15193,18
0,58,16.5,3251,827,14000,15193,22
0,58,16.4,3244,1013,13581,15193,20
0,58,16.4,3243,1058,14096,15193,29
0,58,16.2,3252,955,11218,15193,19
0,58,16.1,3252,1059,13216,15193,17
0,58,16,3243,1389,11088,15186,20
0,58,16,3247,1446,13773,15080,29
0,58,16,3253,1233,12504,15058,18
0,58,16,3250,1047,15313,14956,11
0,58,15.9,3243,1196,14423,14917,18
0,58,15.8,3253,1818,15841,14917,29
0,58,15.6,3254,1777,16035,14917,10
0,58,15.4,3246,1091,16057,14917,5
0,58,15.2,3246,948,15507,14917,12
0,58,15.1,3254,916,15507,14917,9
0,58,15,3256,857,15203,14917,17
0,58,15.5,3245,1012,14282,14917,6
0,58,15.7,3250,969,15362,14917,16
0,58,16,3256,832,13858,14906,24
0,59,16.1,3257,811,15715,14906,28
0,59,16.2,3249,802,14276,14870,25
0,59,16.2,3247,903,15337,14870,20
0,58,16.2,3256,922,12465,14810,27
0,58,16.2,3254,981,13848,14725,29
0,58,16.2,3246,1042,11318,14696,21
0,58,16.1,3254,911,14347,14687,13
0,58,16,3258,800,14582,14616,18
0,59,15.8,3252,1124,16126,14616,11
0,59,15.7,3251,1211,15712,14616,29
0,59,15.7,3257,897,15807,14616,9
0,59,15.8,3258,745,15265,14616,17
0,59,15.9,3250,986,15265,14616,25
0,59,15.9,3251,1100,15182,14616,17
0,59,15.9,3258,963,14625,14616,27
0,59,16,3260,883,14544,14616,22
0,59,16.1,3251,1340,12560,14616,14
0,59,16.1,3250,1431,14365,14616,18
0,59,16.1,3258,1103,12837,14616,17
0,59,16.1,3260,986,14287,14504,19
0,59,16.1,3260,1120,11733,14500,26
0,59,16.1,3261,1167,13941,14080,15
0,59,16.1,3254,1402,13097,14067,16
0,59,16.1,3123,6264,10910,14042,244
2,59,16.1,3171,10129,8800,0,157
0,59,16.1,3209,8844,7183,0,294
0,59,16.1,3228,4092,14747,0,125
0,59,16.1,3228,3581,14747,0,43
0,59,16.1,3076,5446,14794,0,161
2,59,16.1,3095,10859,14611,0,52
2,59,16.1,3131,13822,12303,0,219
2,59,16.1,3179,10191,14733,0,109
0,59,16.1,3203,4393,24350,0,47
0,59,16.1,3219,3133,24693,0,30
0,59,16.1,3227,1324,25436,0,18
0,59,16.1,3221,1319,25866,0,17
0,59,16.1,3229,1454,18235,0,61
0,59,16.1,3238,1384,18235,0,13
0,59,16.1,3235,994,12552,0,12
0,59,16.1,3236,1016,14044,0,30
0,59,16.1,3248,1051,15330,0,21
0,59,16.1,3246,1343,18496,0,13
0,59,16.1,3240,1383,18533,0,29
0,59,16.1,3256,1175,18704,0,16
0,59,16.1,3256,1046,18704,0,24
0,59,16.1,3250,967,18284,0,31
0,59,16.1,3252,928,18465,0,29
0,59,16.1,3261,883,18465,0,25
0,59,16.1,3263,991,18271,0,23
