LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
4,0,0,474,17,14,0,5
4,0,0,473,14,11,0,8
4,0,0,474,11,19,0,8
4,0,0,477,11,22,0,7
4,0,0,475,9,43,0,7
4,0,0,475,10,44,0,6
4,0,0,475,11,30,0,11
4,0,0,477,9,31,0,10
4,0,0,478,7,27,0,12
4,0,0,478,7,42,0,9
4,0,0,478,6,51,0,11
4,0,0,478,23,45,0,12
0,0,0,474,241,16,0,77
0,0,0,479,712,54,0,434
0,0,0,477,766,68,0,137
0,0,0,1,9951,113,0,859
1,0,0,0,18500,429,0,3244
1,0,0,1,15791,2799,0,399
1,0,0,0,2417,4483,0,16
1,0,0,1,33,13056,0,18
1,0,0,0,12,13056,0,67
1,0,0,1,7,15579,0,9
1,0,0,0,6,15517,0,12
1,0,0,1,21,8440,0,17
1,0,0,1,59,6921,0,108
1,0,0,0,1308,1347,0,1514
1,0,0,0,1501,1879,0,222
1,0,0,1,930,1708,0,443
1,0,0,0,575,1006,0,61
1,0,0,1,115,615,0,4
1,0,0,1,58,938,0,128
1,0,0,0,433,826,0,276
1,0,0,1,2179,436,0,593
1,0,0,187,7395,518,0,337
1,0,0,277,7148,1115,0,368
2,0,0,2832,28583,1589,0,1155
2,0,0,2261,56879,8054,0,2522
2,0,0,2556,55061,12313,0,117
2,0,0,2490,42150,40302,0,194
2,0,0,2560,39006,50394,0,94
2,0,0,2612,25519,53744,0,48
2,0,0,2674,21567,50163,0,46
2,0,0,2704,19810,32467,0,29
2,0,0,2723,17719,19619,0,32
2,0,0,2733,16258,11458,0,37
2,0,0,2748,16085,5870,0,24
2,0,0,2760,15586,9236,0,75
2,0,0,2775,16338,13818,0,69
2,0,0,2774,15385,12710,0,53
2,0,0,2798,14891,16193,0,48
2,0,0,2806,14178,16013,0,54
2,0,0,2785,13914,13440,0,57
2,0,0,2809,15384,13246,0,64
2,0,0,2814,14246,12099,0,34
2,0,0,2773,14573,14136,0,69
2,0,0,2785,15397,14136,0,65
2,0,0,2819,13752,14813,0,37
2,0,0,2834,12422,13238,0,51
2,0,0,2828,14403,11275,0,93
2,0,0,2842,14450,6067,0,43
2,0,0,2843,12068,5714,0,69
2,0,0,2841,13482,2866,0,55
2,0,0,2853,13595,3012,0,46
2,0,0,2807,14569,7032,0,45
2,0,0,3046,27486,6744,0,103
2,0,0,3038,40077,8271,0,1377
2,0,0,2942,53363,19230,0,332
0,0,0,155,5039,41100,0,2784
0,0,0,468,9000,43344,0,4715
2,0,0,0,52318,52317,0,2757
1,0,0,1,17707,52317,0,714
1,0,0,0,8005,38966,0,742
1,0,0,1,12764,29829,0,852
1,0,0,0,10966,29074,0,225
2,0,0,951,26254,18882,0,4647
2,0,0,0,31819,14760,0,1700
1,0,0,1,18295,7488,0,123
1,0,0,162,3290,10042,0,251
1,0,0,0,9698,16815,0,525
1,0,0,1,9669,16815,0,257
1,0,0,0,2666,26699,0,78
1,0,0,1,2133,26640,0,57
1,0,0,0,3951,25094,0,69
2,0,0,2930,47939,21327,0,4298
2,0,0,2002,56221,15314,0,5038
2,0,0,1300,33582,24749,0,191
2,0,0,1370,25270,34825,0,79
2,0,0,1653,25242,65535,0,103
2,0,0,1550,17453,65535,0,159
2,0,0,1714,17274,65535,0,110
2,0,0,1606,19664,65535,0,80
2,0,0,1581,12594,34618,0,26
0,0,0,1640,6253,32002,0,12
0,0,0,1594,4875,10148,0,12
0,0,0,1566,5057,10148,0,10
0,0,0,1550,5539,12850,0,41
0,0,0,1644,5487,12345,0,30
0,0,0,1616,5258,9451,0,10
0,0,0,1596,5693,12330,0,23
0,0,0,1576,5171,11299,0,24
0,0,0,1686,5164,9108,0,47
0,0,0,1681,6414,9234,0,17
0,0,0,1620,5875,5495,0,12
0,0,0,1638,4181,7452,0,36
0,0,0,1732,4536,6989,0,28
0,0,0,1655,5063,8292,0,16
0,0,0,1596,5187,11410,0,18
0,0,0,1715,5482,12604,0,34
0,0,0,1729,5587,16291,0,29
0,0,0,1642,5387,16291,0,20
0,0,0,1720,5144,16366,0,19
0,0,0,1753,5957,16110,0,22
0,0,0,1723,5904,14533,0,24
0,0,0,1734,8569,13696,0,33
0,0,0,1735,9084,13915,0,48
0,0,0,2002,6179,14513,0,21
2,0,0,1885,14455,14513,0,240
2,0,0,1996,43995,15735,0,6553
2,0,0,2176,45027,16421,0,332
2,0,0,2251,18302,18152,0,113
0,0,0,2236,9210,19000,0,28
0,0,0,2219,7717,19000,0,22
0,0,0,2243,7160,16506,0,28
2,0,0,2806,10981,14315,0,179
2,0,0,1,37205,13951,0,1375
1,0,0,1,36268,13077,0,236
